HIP,HD,Teff,logg,NaH,SiH,TiH,FeH,NiH
3559,HD4307,5839,4.10,-0.29,-0.18,-0.07,-0.19,-0.22
3765,HD4628,4944,4.51,-0.27,-0.28,-0.23,-0.27,-0.3
3821,HD4614,5941,4.44,-0.22,-0.19,-0.2,-0.25,-0.27
3850,HD4747,5335,4.65,-0.29,-0.19,-0.22,-0.22,-0.29
3979,HD4915,5650,4.57,-0.24,-0.15,-0.16,-0.19,-0.24
4005,HD4903,6086,4.15,-0.07,-0.02,0.01,-0.03,-0.07
4127,HD5065,5957,4.13,-0.1,-0.04,0.02,-0.05,-0.07
4148,HD5133,4968,4.80,-0.15,0.03,-0.06,-0.04,-0.1
4393,HD5372,5877,4.40,0.28,0.22,0.18,0.21,0.24
4395,HD5562,5453,4.15,0.18,0.16,0.17,0.22,0.2
4423,HD5470,5966,4.32,0.3,0.23,0.12,0.24,0.26
5189,HD6558,6086,4.26,0.29,0.25,0.25,0.26,0.28
5280,HD6735,6085,4.45,-0.12,-0.04,-0.06,-0.07,-0.12
5296,HD6706,6540,4.18,0.17,0.15,0.45,0.26,0
5315,HD6734,5067,3.81,-0.25,-0.27,-0.1,-0.41,-0.37
5480,HD6872,6409,4.21,-0.23,-0.1,-0.08,-0.05,-0.17
5521,HD6963,5495,4.54,-0.31,-0.19,-0.19,-0.15,-0.25
5529,HD7199,5382,4.44,0.49,0.33,0.28,0.36,0.4
5534,HD7047,5898,4.25,-0.05,-0.07,-0.08,-0.09,-0.11
5682,HD7228,6153,4.07,-0.08,-0.03,0.01,-0.05,-0.11
5842,HD7693,4982,4.78,0.12,0.25,0,0.23,0.18
5862,HD7570,6116,4.33,0.17,0.17,0.13,0.16,0.16
5938,HD7661,5421,4.46,-0.06,0,-0.01,0.06,-0.04
5944,HD7590,6031,4.54,-0.21,-0.05,-0.03,-0.03,-0.13
5985,HD7727,6022,4.25,0,0.05,0.01,0.05,0.01
6197,HD8038,5689,4.51,0.11,0.14,0.13,0.18,0.16
6379,HD7924,5177,4.58,-0.16,-0.16,-0.13,-0.15,-0.22
6405,HD8262,5761,4.46,-0.21,-0.12,-0.16,-0.16,-0.2
6442,HD8331,5695,4.05,-0.08,-0.02,0.02,-0.01,-0.03
6498,HD8328,5817,4.19,0.46,0.31,0.27,0.36,0.41
6643,HD8574,6050,4.20,-0.03,0,0.04,-0.01,-0.03
6653,HD8648,5790,4.35,0.2,0.16,0.14,0.17,0.18
6702,HD8673,6340,4.21,0.13,0.17,0.06,0.15,0.05
6712,HD8765,5590,4.23,0.28,0.17,0.16,0.19,0.17
6869,HD8941,6226,4.05,0.24,0.17,0.16,0.19,0.14
6878,HD8907,6204,4.35,-0.28,-0.08,-0.12,-0.02,-0.17
6978,HD9070,5657,4.36,0.31,0.3,0.22,0.3,0.31
7080,HD9280,5759,4.42,0.34,0.35,0.35,0.38,0.37
7090,HD9224,5843,4.24,0,0,0,0,0
7221,HD9331,5484,4.32,0.08,0.17,0.04,0.13,0.09
7235,HD9540,5462,4.56,-0.09,-0.06,-0.04,-0.02,-0.09
7244,HD9472,5867,4.67,-0.1,-0.02,0.05,0.05,-0.06
7276,HD9562,5939,4.13,0.31,0.21,0.23,0.26,0.28
7339,HD9407,5657,4.48,0.04,0.04,0,0.02,0.02
7513,HD9826,6213,4.25,0.15,0.17,0.17,0.15,0.13
7539,HD10002,5281,4.45,0.25,0.2,0.2,0.2,0.19
7585,HD9986,5805,4.45,0.04,0.07,0.05,0.08,0.05
7599,HD10180,5890,4.37,0.14,0.09,0.03,0.08,0.08
7733,HD10126,5537,4.49,0.03,0.02,0.01,0.02,0.01
7734,HD10086,5725,4.46,0.05,0.07,0.07,0.12,0.07
7751,HD10360,5016,4.59,-0.21,-0.22,-0.21,-0.23,-0.26
7902,HD10145,5638,4.44,-0.06,0.01,0.02,-0.01,-0.05
7978,HD10647,6105,4.34,-0.18,-0.08,-0.11,-0.08,-0.15
7981,HD10476,5181,4.53,-0.02,-0.04,-0.04,-0.04,-0.08
8102,HD10700,5283,4.59,-0.45,-0.31,-0.31,-0.52,-0.49
8159,HD10697,5680,4.12,0.17,0.13,0.15,0.19,0.17
8346,HD11020,5173,4.62,-0.16,-0.06,-0.08,-0.28,-0.24
8362,HD10780,5327,4.54,-0.05,0.01,-0.02,0.03,-0.03
8398,HD11112,5890,4.24,0.28,0.19,0.15,0.2,0.23
8548,HD11226,6012,4.20,0.05,0.02,0.02,0.03,0
8598,HD11151,6405,4.00,0.11,0.11,0.26,0.2,-0.07
8798,HD11505,5758,4.44,-0.16,-0.07,-0.03,-0.22,-0.2
9073,HD11850,5663,4.55,-0.07,0.03,0.05,0.09,-0.01
9094,HD11964,5349,4.03,0.01,0.03,0.1,0.12,0.1
9269,HD12051,5495,4.62,0.21,0.23,0.18,0.26,0.21
9353,HD12235,6097,4.29,0.46,0.32,0.27,0.33,0.36
9381,HD12387,5716,4.52,-0.15,-0.07,-0.05,-0.23,-0.2
9406,HD12328,4919,3.70,-0.12,-0.09,-0.01,0.02,0.03
9473,HD12414,6158,4.04,-0.4,-0.29,-0.25,-0.34,-0.44
9683,HD12661,5743,4.42,0.51,0.35,0.32,0.36,0.42
9829,HD12846,5626,4.42,-0.29,-0.2,-0.19,-0.28,-0.29
9911,HD13043,5897,4.27,0.13,0.09,0.1,0.09,0.09
10138,HD13445,5151,4.59,-0.24,-0.16,-0.17,-0.27,-0.28
10175,HD13357,5696,4.47,-0.11,-0.02,-0.04,-0.01,-0.07
10321,HD13507,5755,4.56,-0.1,-0.03,0.01,0.03,-0.06
10339,HD13531,5621,4.52,-0.12,-0.06,-0.04,0.01,-0.1
10505,HD13825,5711,4.44,0.31,0.19,0.16,0.19,0.24
10531,HD13579,5211,4.59,0.47,0.3,0.26,0.35,0.35
10626,HD13931,5830,4.30,0.03,0.04,0.06,0.03,0.02
10680,HD14082,6219,4.43,-0.17,0.03,0.14,0.09,-0.02
10798,HD14412,5374,4.69,-0.46,-0.37,-0.4,-0.47,-0.51
11548,HD15335,5891,4.07,-0.24,-0.14,-0.06,-0.13,-0.19
12048,HD16141,5794,4.22,0.08,0.11,0.15,0.17,0.14
12114,HD16160,4866,4.66,-0.01,-0.06,0,-0.12,-0.11
12158,HD16287,5075,4.67,0.18,0.22,0.08,0.25,0.18
12186,HD16417,5817,4.17,0.09,0.1,0.1,0.13,0.13
12198,HD16275,5839,4.39,0.38,0.3,0.22,0.34,0.34
12306,HD16397,5788,4.50,-0.4,-0.32,-0.28,-0.51,-0.49
12350,HD16548,5750,4.12,0.11,0.13,0.29,0.25,0.22
