Star,Teff,logg,[Fe/H],[Na/H],[Mg/H],[Al/H],[Si/H],[Ca/H],[ScI/H],[ScII/H],[TiI/H],[TiII/H],[V/H],[CrI/H],[CrII/H],[Mn/H],[Co/H],[Ni/H]
HD222335,5271,4.49,-0.20,-0.165,-0.153,-0.130,-0.186,-0.168,-0.117,-0.217,-0.074,-0.200,0.014,-0.167,-0.247,-0.215,-0.170,-0.228
HD222422,5475,4.46,-0.12,-0.155,-0.093,-0.065,-0.134,-0.033,-0.067,-0.117,-0.014,-0.058,-0.001,-0.095,-0.153,-0.160,-0.147,-0.147
HD22249,5773,4.63,-0.06,-0.180,-0.070,-0.080,-0.087,-0.043,0.003,-0.058,-0.018,-0.048,-0.038,-0.034,-0.040,-0.165,-0.103,-0.130
HD222582,5779,4.37,-0.01,0.050,0.057,0.050,0.029,0.018,0.053,0.053,0.033,0.042,0.014,0.000,-0.020,-0.025,0.039,0.003
HD222595,5648,4.46,0.01,0.055,0.017,0.020,0.015,0.022,0.050,-0.007,0.047,-0.027,0.064,0.040,-0.023,0.033,0.041,0.021
HD222669,5894,4.46,0.05,0.045,0.057,0.015,0.037,0.070,0.070,0.035,0.054,0.040,0.031,0.060,0.040,0.040,0.026,0.044
HD222721,5361,4.43,-0.31,-0.230,-0.263,-0.180,-0.242,-0.252,-0.280,-0.267,-0.172,-0.255,-0.179,-0.283,-0.277,-0.315,-0.250,-0.314
HD22282,5433,4.32,0.12,0.130,0.163,0.350,0.121,0.098,0.173,0.120,0.191,0.115,0.278,0.119,0.130,0.198,0.241,0.114
HD223121,5077,4.34,0.05,0.230,0.047,0.165,0.043,0.020,0.250,0.037,0.155,0.135,0.445,0.070,-0.033,0.120,0.200,0.068
HD223171,5841,4.20,0.12,0.180,0.153,0.145,0.126,0.103,0.173,0.195,0.122,0.160,0.124,0.118,0.060,0.130,0.159,0.135
HD223272,5118,4.41,0.13,0.275,0.187,0.465,0.117,0.138,0.430,0.182,0.301,0.228,0.630,0.162,0.030,0.188,0.306,0.128
HD223282,5328,4.49,-0.41,-0.370,-0.340,-0.335,-0.362,-0.341,-0.380,-0.418,-0.293,-0.402,-0.318,-0.390,-0.393,-0.480,-0.393,-0.442
HD223315,5650,4.44,0.30,0.365,0.253,0.390,0.304,0.258,0.323,0.360,0.307,0.280,0.411,0.301,0.267,0.368,0.389,0.329
HD223854,6080,4.08,-0.54,-0.490,-0.600,-0.555,-0.421,-0.365,-0.260,-0.390,-0.385,-0.370,-0.413,-0.536,-0.513,-0.570,-0.523,-0.544
HD224047,5167,4.43,-0.23,-0.175,-0.250,-0.175,-0.223,-0.175,-0.180,-0.242,-0.132,-0.265,-0.010,-0.194,-0.203,-0.218,-0.203,-0.244
